runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
BARBELL_SQUAT,SQUAT,BARBELL_BACK_SQUAT,Barbell Back Squat,curated,high,verified,weighted,BARBELL,QUADS,same,Barbell Squat,
BEAR_CRAWL,PLANK,BEAR_CRAWL,Bear Crawl,enum-exact,high,verified,bodyweight,BW,FULL_BODY,same,Bear Crawl,
BENT_KNEE_CALF_RAISE,CALF_RAISE,WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,Weighted Single-leg Bent-knee Calf Raise,heuristic,high,verified,weighted,DB,CALVES,same,Bent Knee Calf Raise,
BENT_KNEE_CALF_RAISE_1,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,Single-leg Bent-knee Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Bent Knee Calf Raise 1,
BENT_KNEE_CALF_RAISE_2,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,Single-leg Bent-knee Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Bent Knee Calf Raise 2,
BENT_OVER_ROW,ROW,BENT_OVER_ROW_WITH_BARBELL,Bent-over Row with Barbell,heuristic,high,verified,weighted,BARBELL,BACK,same,Bent Over Row,
BENT_OVER_ROW_1,ROW,BENT_OVER_ROW_WITH_BARBELL,Bent-over Row with Barbell,heuristic,med,inferred,bodyweight,BW,,relaxed,Bent Over Row 1,
BODYWEIGHT_LUNGE,LUNGE,LUNGE,Lunge,heuristic,med,inferred,bodyweight,BW,,same,Bodyweight Lunge,
BODYWEIGHT_SQUAT,SQUAT,SQUAT,Squat,heuristic,high,verified,bodyweight,BW,WARM_UP,same,Bodyweight Squat,
BOX_JUMP,PLYO,BOX_JUMP,Box Jump,enum-exact,high,verified,bodyweight,BOX,PLYOS,same,Box Jump,
BOX_JUMP_DOWN_TUCK_JUMP,PLYO,BOX_JUMP,Box Jump,heuristic,med,inferred,bodyweight,BW,,same,Box Jump Down Tuck Jump,
BURPEE,TOTAL_BODY,BURPEE,Burpee,enum-exact,high,verified,bodyweight,BW,FULL_BODY,same,Burpee,
BUTTERFLY_STRETCH,FLYE,FLYE,Fly,fallback,low,inferred,bodyweight,BW,,relaxed,Butterfly Stretch,no close match; generic same-muscle-group placeholder — see description
BW_SQUATS_CALF_RAISE,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Bw Squats Calf Raise,
B_SKIP,WARM_UP,WALKING_HIGH_KNEES,Walking High Knees,curated,med,inferred,bodyweight,BW,,same,B Skip,B-skip running drill ≈ high-knee walk
CHILDS_POSE_TO_COBRA,WARM_UP,STRETCH_CHILDS_POSE,Child's Pose Stretch,heuristic,med,inferred,bodyweight,BW,,same,Childs Pose To Cobra,
CLAM_SHELLS,BANDED_EXERCISES,CLAM_SHELLS,Banded Clam Shells,curated,med,verified,bodyweight,BW,WARM_UP,relaxed,Clam Shells,clam shell (Garmin lists it under banded)
CLAM_SHELLS_1,HIP_STABILITY,HIP_STABILITY,Hip Stability,fallback,low,inferred,bodyweight,BW,,same,Clam Shells 1,no close match; generic same-muscle-group placeholder — see description
COORDINATION_DRILL,LEG_RAISE,LEG_LOWERING_DRILL,Leg Lowering Drill,heuristic,med,inferred,bodyweight,BW,,same,Coordination Drill,
CROSS_LEG_SIDE_BEND,CORE,SIDE_BEND,Side Bend,heuristic,med,inferred,bodyweight,BW,,same,Cross Leg Side Bend,
CRUNCH_AND_PRESS,CORE,CABLE_CORE_PRESS,Cable Core Press,heuristic,high,verified,weighted,DB,CORE,same,Crunch And Press,weighted crunch+press; no equivalent
CRUNCH_AND_PRESS_1,CRUNCH,CRUNCH,Crunch,heuristic,med,inferred,bodyweight,BW,,same,Crunch And Press 1,
DEADBUG,HIP_STABILITY,DEAD_BUG,Dead Bug,curated,high,verified,bodyweight,BW,CORE,same,Deadbug,
DEADLIFT,DEADLIFT,DEADLIFT,Deadlift,enum-exact,med,inferred,bodyweight,BW,,relaxed,Deadlift,
DEADLIFT_1,DEADLIFT,DEADLIFT,Deadlift,heuristic,med,inferred,bodyweight,BW,,relaxed,Deadlift 1,
DEADLIFT_2,DEADLIFT,DEADLIFT,Deadlift,heuristic,med,inferred,bodyweight,BW,,relaxed,Deadlift 2,
